PAPEL;SEGMENTO;COTACAO;FFO_YIELD;DIVIDEND_YIELD;P_VP;VALOR_DE_MERCADO;LIQUIDEZ;QTD_DE_IMOVEIS;PRECO_DO_M2;ALUGUEL_POR_M2;CAP_RATE;VACANCIA_MEDIA
JPPC11;Híbrido;200.0;-0.04019999999999999;0.2214;0.67;11000000.0;106.0;0;0.0;0.0;0.0;0.0
JRDM11;Shoppings;85.9;0.0797;0.0;0.96;216723000.0;0.0;1;7394.68;671.49;0.0908;0.011899999999999999
JSAF11;Títulos e Val. Mob.;6.58;0.09210000000000002;0.17309999999999998;0.78;510103000.0;1889350.0;0;0.0;0.0;0.0;0.0
JSCR11;Títulos e Val. Mob.;7.16;0.0;0.011000000000000001;0.07;15850200.0;809124.0;0;0.0;0.0;0.0;0.0
JSRE11;Híbrido;53.74;0.1009;0.1057;0.53;1116040000.0;1860500.0;6;9566.02;1113.81;0.1164;0.0705
KCRE11;Títulos e Val. Mob.;7.9;0.1506;0.1398;0.86;284400000.0;680101.0;0;0.0;0.0;0.0;0.0
KDOL11;Títulos e Val. Mob.;97.35;0.0003;0.015;0.86;65320100.0;286240.0;0;0.0;0.0;0.0;0.0
KEVE11;Residencial;898.98;0.0027;0.0104;1.3;132780000.0;36965.0;1;0.0;0.0;0.0;0.0
KFOF11;Títulos e Val. Mob.;68.3;0.0904;0.0872;0.75;479095000.0;1876090.0;0;0.0;0.0;0.0;0.0
KINP11;Residencial;9.82;0.0;0.0;0.0;0.0;0.0;1;0.0;0.0;0.0;0.0
KISU11;Títulos e Val. Mob.;6.54;0.214;0.13;0.86;289042000.0;716401.0;0;0.0;0.0;0.0;0.0
KIVO11;Títulos e Val. Mob.;58.6;0.1693;0.1974;0.67;130252000.0;943474.0;0;0.0;0.0;0.0;0.0
KNCA11;Títulos e Val. Mob.;83.94;0.1367;0.14880000000000002;0.83;1813100000.0;5180380.0;0;0.0;0.0;0.0;0.0
KNCR11;Títulos e Val. Mob.;102.0;0.08650000000000001;0.1142;1.0;7802610000.0;17404600.0;0;0.0;0.0;0.0;0.0
KNHF11;Híbrido;77.14;0.08990000000000001;0.0876;0.78;1516820000.0;4812090.0;2;19263.3;312.25;0.016200000000000003;0.0
KNHY11;Títulos e Val. Mob.;94.5;0.081;0.1375;0.96;2662020000.0;5082760.0;0;0.0;0.0;0.0;0.0
KNIP11;Títulos e Val. Mob.;85.89;0.1444;0.1215;0.95;6877920000.0;10162900.0;0;0.0;0.0;0.0;0.0
KNRE11;Residencial;0.19;-0.5282;0.0;0.23;3523960.0;3105.0;0;0.0;0.0;0.0;0.0
KNRI11;Híbrido;131.0;0.0771;0.0909;0.81;3694730000.0;6118070.0;20;4598.08;352.22;0.0766;0.0013
KNSC11;Títulos e Val. Mob.;8.13;0.0584;0.1252;0.94;1643910000.0;7025690.0;0;0.0;0.0;0.0;0.0
KNUQ11;Títulos e Val. Mob.;99.09;0.0712;0.1268;0.98;1517320000.0;5159760.0;0;0.0;0.0;0.0;0.0
KOPA11;Títulos e Val. Mob.;844.44;0.10039999999999999;0.16149999999999998;0.84;299503000.0;583332.0;0;0.0;0.0;0.0;0.0
KORE11;Títulos e Val. Mob.;74.9;0.1096;0.1246;0.71;720913000.0;2663990.0;4;11556.0;855.02;0.07400000000000001;0.0172
LAFI11;Híbrido;110.45;0.063;0.0774;1.02;62707100.0;20150.0;1;8.97;0.62;0.069;0.0
LASC11;Shoppings;109.99;0.0321;0.0649;0.77;323403000.0;1867130.0;2;15431.4;1364.23;0.08839999999999999;0.0264
LATR11B;Residencial;9.51;-0.1636;0.0;0.9;1180230.0;0.0;0;0.0;0.0;0.0;0.0
LFTT11;Residencial;7.5;-0.3457;0.0;0.39;24487500.0;15375.0;76;3256.02;1.38;0.0004;0.0
LGCP11;Logística;82.95;0.1125;0.0692;0.82;374279000.0;0.0;5;3089.94;375.13;0.12140000000000001;0.0084
LIFE11;Outros;8.77;0.0984;0.17859999999999998;0.89;301413000.0;772382.0;0;0.0;0.0;0.0;0.0
LLAO11;Híbrido;64.58;-0.0768;0.0;1.09;23322400.0;3938.0;14;5761.06;0.0;0.0;0.0
LOFT11B;Residencial;29.9;-0.016200000000000003;0.0;11.0;58678800.0;0.0;4;69906.0;93.59;0.0013;0.0
LPLP11;Residencial;500.0;0.10949999999999999;0.4495;1.7;249255000.0;0.0;0;0.0;0.0;0.0;0.0
LSAG11;Títulos e Val. Mob.;65.4;0.1813;0.20559999999999998;0.67;66010400.0;87073.0;0;0.0;0.0;0.0;0.0
LSPA11;Outros;24.01;1.7519999999999998;0.9256;1.15;9712040.0;551.0;0;0.0;0.0;0.0;0.0
LTMT11;Residencial;95.68;0.0604;0.0799;1.0;11956200.0;8357.0;0;0.0;0.0;0.0;0.0
LUGG11;Residencial;72.82;0.1384;0.061500000000000006;0.62;82338000.0;0.0;5;3133.11;608.7;0.1943;0.051699999999999996
